,university,career,full_name,gender,date_of_birth,postal_code,location,email
553,UNIVERSIDAD_DEL_SALVADOR,AGRONOMÍA,NANCY_GARDNER,F,1925-12-21,null,CARMEN_DE_ARECO,JASON02@YAHOO.COM
554,UNIV. NACIONAL DEL COMAHUE,DISEÑO INDUSTRIAL,MELISSA KRUEGER,F,1909-12-18,2943,null,JOHNHOGAN@YAHOO.COM
555,UNIVERSIDAD_DEL_SALVADOR,INGENIERÍA_MECÁNICA,PATRICK_WRIGHT,M,1923-02-08,null,PORVENIR,PAULA78@GMAIL.COM
556,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS GEOLÓGICAS,MICHAEL WHITAKER,M,1957-03-20,8200,null,PATRICK36@YAHOO.COM
557,UNIV. NACIONAL DEL COMAHUE,INGENIERÍA MECÁNICA,MARY LARSON,F,1909-11-26,7519,null,MICHAELWHITE@YAHOO.COM
558,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_GESTIÓN_DE_AGROALIMENTOS,LISA_BENNETT,F,1965-08-07,null,CAMPO_COUBERT,MAXWELLLAUREN@HOTMAIL.COM
559,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE,KRISTA CLAYTON,F,1975-11-12,6625,null,MAURICE27@HOTMAIL.COM
560,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN SOCIOLOGÍA ,SARAH DICKERSON,F,1921-03-03,3580,null,ANDERSONNICHOLAS@GMAIL.COM
561,UNIV. NACIONAL DEL COMAHUE,CIENCIAS VETERINARIAS,ASHLEY SCOTT,F,1980-09-19,4516,null,ASIMMONS@YAHOO.COM
562,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN MUSICOTERAPIA,CHRISTIAN CASTILLO,M,1927-11-01,3001,null,CHRISTINAWEST@YAHOO.COM
563,UNIV. NACIONAL DEL COMAHUE,CIENCIAS VETERINARIAS,MARY MORSE,F,1934-01-19,3486,null,CAMERONPEGGY@HOTMAIL.COM
564,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS AMBIENTALES,BRENDA ANDERSON,F,1925-06-25,9107,null,TUCKERRICHARD@YAHOO.COM
565,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN TERAPIA OCUPACIONAL,CAROLYN BAKER,F,1952-02-01,4653,null,QINGRAM@HOTMAIL.COM
566,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN ARTES,ALLISON HERNANDEZ,F,1953-04-18,8412,null,DALTONWILLIAM@HOTMAIL.COM
567,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS,WILLIAM MCBRIDE,M,2010-10-15,2720,null,SHEPARDCALEB@YAHOO.COM
568,UNIVERSIDAD_DEL_SALVADOR,CONTADOR_PÚBLICO_,VICTORIA_SMITH,F,1952-08-03,null,COLONIA_ESCRIBANO,FARMERCHERYL@YAHOO.COM
569,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PRODUCCIÓN DE BIOIMAGENES,KRISTIE DRAKE,F,2019-07-30,7630,null,WILLIAMSSAMANTHA@YAHOO.COM
570,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN ADMINISTRACIÓN ,REBECCA JOHNSON,F,2002-02-23,6723,null,DAVID74@HOTMAIL.COM
571,UNIVERSIDAD_DEL_SALVADOR,INGENIERÍA_EN_INFORMÁTICA,MICHELLE_MEYER,F,1909-07-17,null,AGUANGO,MARISAJOHNSON@YAHOO.COM
572,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN RELACIONES DEL TRABAJO ,GERALD WEST,M,1945-03-17,6000,null,LOPEZDESTINY@GMAIL.COM
573,UNIV. NACIONAL DEL COMAHUE,TÉCNICO PARA BIOTERIOS ,PETER RAMOS,M,2020-01-18,7517,null,XORTEGA@HOTMAIL.COM
574,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN TERAPIA OCUPACIONAL,JAMES GARRISON,M,1923-10-11,5261,null,ANGELAHIGGINS@HOTMAIL.COM
575,UNIV. NACIONAL DEL COMAHUE,INGENIERÍA MECÁNICA,JOSE WILSON,M,1971-02-11,2500,null,YSTEWART@YAHOO.COM
576,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA,CRYSTAL RAY,F,1906-02-17,7404,null,SHORTANGELA@YAHOO.COM
577,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PSICOLOGÍA,DANIEL THOMAS,M,1963-05-14,1727,null,SJOHNSON@GMAIL.COM
578,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS BIOLÓGICAS,LINDA FRANCO,F,1996-07-14,4113,null,AKING@GMAIL.COM
579,UNIV. NACIONAL DEL COMAHUE,INGENIERÍA ELECTRÓNICA,MISTY MURPHY,F,1906-09-24,9411,null,BRADLEYALEXANDER@GMAIL.COM
580,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_SOCIOLOGÍA_,PATRICK_PEARSON,M,1976-10-12,null,JUAN_F_IBARRA,CPHILLIPS@GMAIL.COM
581,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN,MORGAN SCHROEDER,F,1996-02-02,6387,null,FHARPER@HOTMAIL.COM
582,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN GESTIÓN DE AGROALIMENTOS,RAYMOND MORRIS,M,1973-07-10,7637,null,DAVISKARI@YAHOO.COM
583,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_RELACIONES_DEL_TRABAJO_,LINDA_GOODWIN,F,1957-11-08,null,PIAMONTE,DIXONCHRISTINA@YAHOO.COM
584,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_MUSICOTERAPIA,DALE_PATEL,M,1908-11-22,null,4_DE_NOVIEMBRE,EDUKE@HOTMAIL.COM
585,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE,DAVID ROWE,M,1943-08-19,7167,null,LUIS40@GMAIL.COM
586,UNIV. NACIONAL DEL COMAHUE,DISEÑO INDUSTRIAL,NICHOLAS HENSON,M,1978-08-23,2843,null,JAMESKEVIN@GMAIL.COM
587,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN ARTES,MICHAEL LUNA,M,1999-10-27,8117,null,JAMES83@HOTMAIL.COM
588,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS BIOLÓGICAS,WENDY REYES,F,2004-11-05,6058,null,KELLYBRITTANY@GMAIL.COM
589,UNIV. NACIONAL DEL COMAHUE,INGENIERÍA EN INFORMÁTICA,ANDREW WILLIAMS,M,1999-03-02,5439,null,DEANBRUCE@YAHOO.COM
590,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN SOCIOLOGÍA ,JASON CHEN,M,2000-04-11,5343,null,GARNERANTHONY@HOTMAIL.COM
591,UNIV. NACIONAL DEL COMAHUE,INGENIERÍA EN INFORMÁTICA,DEREK WARREN,M,2008-09-06,3531,null,UMOORE@HOTMAIL.COM
592,UNIV. NACIONAL DEL COMAHUE,DISEÑO INDUSTRIAL,DR. JENNIFER BRYANT MD,F,1997-03-14,8319,null,FJOHNSON@YAHOO.COM
593,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS GEOLÓGICAS,JAMES GATES,M,1943-12-07,5265,null,CHRISTOPHER21@GMAIL.COM
594,UNIV. NACIONAL DEL COMAHUE,INGENIERÍA EN INFORMÁTICA,SHELLY FRAZIER,F,1972-09-18,2117,null,SYLVIA45@HOTMAIL.COM
595,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS ANTROPOLÓGICAS,TODD GORDON,M,1979-12-08,3381,null,MUELLERDONNA@GMAIL.COM
596,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIAS_BIOLÓGICAS,STACY_WEBB,F,1929-11-20,null,CARACOLES,BRIANLEWIS@HOTMAIL.COM
597,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN ARTES,HAROLD MASON,M,1949-06-10,1925,null,DEANTHOMAS@YAHOO.COM
598,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS ANTROPOLÓGICAS,BRANDON MACK,M,1964-07-24,5329,null,KNIGHTJEFFREY@YAHOO.COM
599,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PSICOLOGÍA,CHRISTOPHER PALMER,M,2015-11-29,1911,null,SARAH42@GMAIL.COM
600,UNIV. NACIONAL DEL COMAHUE,INGENIERÍA EN INFORMÁTICA,JULIA MILLS,F,1988-05-25,6503,null,KOCHRICKEY@HOTMAIL.COM
601,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_CIENCIAS_GEOLÓGICAS,JAVIER_BURGESS,M,1914-01-15,null,COLONIA_PUJOL,JOSHUARICHARDSON@YAHOO.COM
602,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN RELACIONES DEL TRABAJO ,JUSTIN BASS PHD,M,1921-06-13,3543,null,GVELEZ@YAHOO.COM
603,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN ARTES,JERRY JONES,M,1921-04-22,1812,null,IRICHARDSON@YAHOO.COM
604,UNIVERSIDAD_DEL_SALVADOR,CIENCIAS_VETERINARIAS,TIFFANY_STEVENS,F,1950-09-25,null,EL_CARRETERO,URUSSELL@GMAIL.COM
605,UNIV. NACIONAL DEL COMAHUE,MEDICINA,DEREK WADE,M,1948-01-27,2821,null,TIFFANYPEREZ@GMAIL.COM
606,UNIV. NACIONAL DEL COMAHUE,FARMACIA,ALAN MARTINEZ,M,1928-03-09,1718,null,BROWNJUSTIN@YAHOO.COM
607,UNIVERSIDAD_DEL_SALVADOR,MEDICINA,BRIAN_BYRD,M,1921-07-17,null,ARROYO_DE_LA_CRUZ,NELSONSANDRA@HOTMAIL.COM
608,UNIV. NACIONAL DEL COMAHUE,BIOQUÍMICA,LORI SANFORD,F,1998-10-14,6628,null,XWIGGINS@HOTMAIL.COM
609,UNIV. NACIONAL DEL COMAHUE,ACTUARIO ,DEBRA SCOTT,F,1958-04-29,6389,null,HSAMPSON@GMAIL.COM
610,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN,ANA EVANS,F,1930-03-29,7226,null,BARBARAFARRELL@GMAIL.COM
611,UNIV. NACIONAL DEL COMAHUE,MEDICINA,SHAWN WELCH,M,1909-02-16,3199,null,TRACIE41@HOTMAIL.COM
612,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN RELACIONES DEL TRABAJO ,ANDREA RANDOLPH,F,2011-10-09,5755,null,SANTOSHEIDI@GMAIL.COM
613,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN RELACIONES DEL TRABAJO ,COURTNEY JOHNSON,F,1945-08-11,3013,null,VMITCHELL@HOTMAIL.COM
614,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN SOCIOLOGÍA ,MICHAEL HUBBARD,M,1935-06-29,3133,null,TAYLORSOLOMON@YAHOO.COM
615,UNIV. NACIONAL DEL COMAHUE,AGRONOMÍA,SHERI ROSS,F,1956-07-22,4750,null,MILLERANA@HOTMAIL.COM
616,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN ARTES,COREY RHODES,M,1988-07-28,6051,null,LOPEZSUSAN@GMAIL.COM
617,UNIV. NACIONAL DEL COMAHUE,INGENIERÍA EN INFORMÁTICA,BRANDI MAHONEY,F,1943-08-17,1676,null,MARK87@GMAIL.COM
618,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN RELACIONES DEL TRABAJO ,JONATHAN BROWN,M,1947-07-03,7108,null,LAURIE15@GMAIL.COM
619,UNIV. NACIONAL DEL COMAHUE,CIENCIAS VETERINARIAS,JUSTIN ADAMS,M,1931-03-25,3526,null,TODD55@YAHOO.COM
620,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE,THOMAS BENNETT,M,2021-05-15,8324,null,TARA84@HOTMAIL.COM
621,UNIV. NACIONAL DEL COMAHUE,TÉCNICO PARA BIOTERIOS ,DOROTHY GARNER,F,1936-09-14,9039,null,DANIEL36@GMAIL.COM
622,UNIV. NACIONAL DEL COMAHUE,FARMACIA,RICKY LEE,M,1953-06-02,8417,null,STODD@HOTMAIL.COM
623,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN ARTES,NICHOLE JACKSON,F,2009-10-27,3351,null,SBASS@GMAIL.COM
624,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS GEOLÓGICAS,JACOB STOUT,M,1940-12-25,3555,null,ULUTZ@GMAIL.COM
625,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ,AMY ROBINSON,F,1996-02-14,6430,null,NMARTIN@YAHOO.COM
626,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_PSICOLOGÍA,COURTNEY_MALONE,F,1977-04-07,null,CERANA,JASONADAMS@GMAIL.COM
627,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ,PETER RICHARD,M,1977-02-24,4237,null,FREEMANJONATHAN@HOTMAIL.COM
628,UNIV. NACIONAL DEL COMAHUE,ARQUITECTURA,CHARLES COOK,M,2020-11-28,1670,null,LEROY48@HOTMAIL.COM
629,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN ARTES,STEPHANIE WILLIAMS,F,1916-01-18,5471,null,JVALDEZ@HOTMAIL.COM
630,UNIV. NACIONAL DEL COMAHUE,INGENIERÍA MECÁNICA,ELIZABETH MARTINEZ DVM,F,2012-08-23,2146,null,HOLLOWAYRICKY@YAHOO.COM
631,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN ARTES,JOSEPH THOMAS,M,2003-03-26,3132,null,WILLIAMSMARY@YAHOO.COM
632,UNIV. NACIONAL DEL COMAHUE,INGENIERÍA MECÁNICA,KATHLEEN HAWKINS,F,1948-01-23,3003,null,CAMPBELLKEVIN@GMAIL.COM
633,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS BIOLÓGICAS,LINDA FIGUEROA,F,1981-10-13,4142,null,VTORRES@YAHOO.COM
634,UNIV. NACIONAL DEL COMAHUE,AGRONOMÍA,PAUL BYRD,M,1944-08-19,1746,null,SHEILA73@YAHOO.COM
635,UNIV. NACIONAL DEL COMAHUE,INGENIERÍA ELECTRÓNICA,CHRISTOPHER GUTIERREZ,M,1954-09-08,2121,null,JRUSH@GMAIL.COM
636,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE,JOSEPH GRAY,M,2007-10-06,5615,null,JONESRYAN@YAHOO.COM
637,UNIV. NACIONAL DEL COMAHUE,CIENCIAS VETERINARIAS,CHRISTOPHER NORMAN,M,1959-09-20,3326,null,MILLERTIMOTHY@YAHOO.COM
638,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN ADMINISTRACIÓN ,MICHAEL PRICE,M,1990-09-09,2743,null,SHERNANDEZ@HOTMAIL.COM
639,UNIV. NACIONAL DEL COMAHUE,INGENIERÍA MECÁNICA,TREVOR FRANKLIN,M,2015-02-13,7263,null,DANIELHINES@YAHOO.COM
640,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN ADMINISTRACIÓN ,NICOLE WATKINS,F,1911-03-05,2438,null,PAUL24@YAHOO.COM
641,UNIV. NACIONAL DEL COMAHUE,ARQUITECTURA,DIANE JONES,F,1931-05-21,3162,null,CARLBLACK@HOTMAIL.COM
642,UNIV. NACIONAL DEL COMAHUE,CONTADOR PÚBLICO ,MICHELE RIVERA,F,1927-08-03,2721,null,EWINGDIANA@GMAIL.COM
643,UNIVERSIDAD_DEL_SALVADOR,CIENCIAS_VETERINARIAS,MASON_CARPENTER,M,1934-08-22,null,AGUA_LINDA,PAUL92@GMAIL.COM
644,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE,REGINA GRIFFIN,F,1915-11-09,2607,null,DEREKBARBER@YAHOO.COM
645,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN,JAMES PETERSON,M,1979-01-15,3522,null,UMCKEE@HOTMAIL.COM
646,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN MUSICOTERAPIA,KATHERINE CALDWELL,F,1973-11-15,3446,null,ANGELA44@GMAIL.COM
647,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS GEOLÓGICAS,JOSE RILEY,M,2009-04-01,5557,null,HPARKER@GMAIL.COM
648,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS AMBIENTALES,JASON MONTES,M,1925-08-09,3194,null,WBRYANT@HOTMAIL.COM
649,UNIV. NACIONAL DEL COMAHUE,INGENIERÍA EN INFORMÁTICA,ELAINE HOWELL,F,1918-03-26,2743,null,EDDIECLARK@GMAIL.COM
650,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN ARTES,KENNETH GARCIA,M,1990-09-08,5361,null,CRAWFORDANGELA@YAHOO.COM
651,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS ANTROPOLÓGICAS,TIMOTHY PAYNE,M,1983-09-19,9201,null,VANESSAGARCIA@GMAIL.COM
652,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN RELACIONES DEL TRABAJO ,JASMINE SALAZAR,F,2019-09-13,3425,null,CAMERONSTEPHANIE@GMAIL.COM
653,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN MUSICOTERAPIA,MEGAN WILSON,F,1907-02-09,7513,null,WOODSTEPHANIE@YAHOO.COM
654,UNIV. NACIONAL DEL COMAHUE,BIOQUÍMICA,SHAWN HAHN,M,2006-02-23,8115,null,CHRISTY55@GMAIL.COM
655,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PRODUCCIÓN DE BIOIMAGENES,APRIL VELASQUEZ,F,1970-10-04,5276,null,FRANCISSARA@GMAIL.COM
656,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN ARTES,CHRISTOPHER BALLARD,M,1977-01-19,4147,null,VALEXANDER@HOTMAIL.COM
657,UNIV. NACIONAL DEL COMAHUE,BIOQUÍMICA,MISS TINA GILLESPIE MD,F,1992-01-29,7105,null,XREEVES@HOTMAIL.COM
658,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS BIOLÓGICAS,RACHEL VELEZ,F,1970-05-04,8349,null,POWELLCHRISTOPHER@HOTMAIL.COM
659,UNIV. NACIONAL DEL COMAHUE,INGENIERÍA MECÁNICA,CARLA LONG,F,1909-02-22,5340,null,DANIELDAVIDSON@GMAIL.COM
660,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN,HEATHER SANTOS,F,1952-12-05,1684,null,WILSONJULIE@YAHOO.COM
661,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN ARTES,JOHN GLOVER,M,2007-09-08,6434,null,MORRISKEVIN@GMAIL.COM
662,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_GESTIÓN_DE_AGROALIMENTOS,BRANDON_KELLER,M,1981-11-23,null,COLONIA_NUEVA_MONTEVIDEO,MASONMATTHEW@GMAIL.COM
663,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_PLANIFICACIÓN_Y_DISEÑO_DEL_PAISAJE,STEPHANIE_RICHARDSON,F,1982-12-20,null,17_DE_AGOSTO,JULIALOPEZ@YAHOO.COM
664,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA,JORDAN GILMORE,M,1970-09-13,3472,null,WSPENCER@HOTMAIL.COM
665,UNIV. NACIONAL DEL COMAHUE,DISEÑO INDUSTRIAL,DIANE JIMENEZ,F,1924-07-25,9407,null,SJOHNSON@YAHOO.COM
666,UNIV. NACIONAL DEL COMAHUE,ACTUARIO ,COLLEEN PERKINS,F,1983-12-26,3025,null,MITCHELLCARLY@HOTMAIL.COM
667,UNIV. NACIONAL DEL COMAHUE,DISEÑO DE IMAGEN Y SONIDO,JENNIFER WILSON,F,1975-10-20,2415,null,KELLY65@HOTMAIL.COM
668,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN GESTIÓN DE AGROALIMENTOS,EUGENE WONG,M,1950-02-11,8373,null,LISA17@GMAIL.COM
669,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ,JOSEPH FISCHER,M,2006-01-29,6360,null,RAYMOND31@YAHOO.COM
670,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE,CHRISTINE FOWLER,F,1930-07-29,3203,null,SARADAY@GMAIL.COM
671,UNIV. NACIONAL DEL COMAHUE,FARMACIA,KATHY POWELL,F,1962-08-23,3133,null,CHRIS21@HOTMAIL.COM
672,UNIV. NACIONAL DEL COMAHUE,CIENCIAS VETERINARIAS,FELICIA STEWART,F,2007-05-09,5751,null,HLOVE@HOTMAIL.COM
673,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PRODUCCIÓN DE BIOIMAGENES,LISA HANNA DVM,F,1959-11-29,2615,null,MCDONALDJOSHUA@HOTMAIL.COM
674,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIA POLÍTICA ,SEAN ZIMMERMAN,M,1983-09-23,4184,null,CYNTHIA55@HOTMAIL.COM
675,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN GESTIÓN DE AGROALIMENTOS,CODY SMITH,M,2008-03-10,3705,null,KESTRADA@YAHOO.COM
676,UNIV. NACIONAL DEL COMAHUE,BIOQUÍMICA,WILLIAM CONTRERAS,M,1909-04-18,2201,null,NICOLEJONES@HOTMAIL.COM
677,UNIV. NACIONAL DEL COMAHUE,INGENIERÍA MECÁNICA,LISA PERRY,F,1941-11-26,3117,null,BASSSARAH@YAHOO.COM
678,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN TERAPIA OCUPACIONAL,JESSICA BURNS,F,2015-01-22,2613,null,THOMAS03@GMAIL.COM
679,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PSICOLOGÍA,LISA DAVIS,F,1977-11-11,2121,null,IALLEN@GMAIL.COM
680,UNIV. NACIONAL DEL COMAHUE,BIOQUÍMICA,DOUGLAS CASTRO,M,1924-03-28,6605,null,OMURPHY@YAHOO.COM
681,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PSICOLOGÍA,DONNA CHAPMAN,F,1935-04-27,3224,null,SCOTTHERRERA@GMAIL.COM
682,UNIVERSIDAD_DEL_SALVADOR,DISEÑO_INDUSTRIAL,DEBRA_ZHANG,F,1984-10-16,null,AGUA_DE_LA_MULA,JENNIFER21@YAHOO.COM
683,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_GESTIÓN_DE_AGROALIMENTOS,MAUREEN_LONG,F,1922-08-18,null,ABALO,NATHANIEL42@HOTMAIL.COM
684,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS BIOLÓGICAS,SAMUEL RIVERA,M,1953-01-27,2311,null,HYODER@GMAIL.COM
685,UNIV. NACIONAL DEL COMAHUE,CIENCIAS VETERINARIAS,TAMMY JIMENEZ,F,1931-03-13,1804,null,HARRISCHRISTINA@HOTMAIL.COM
686,UNIV. NACIONAL DEL COMAHUE,ACTUARIO ,ALISON EWING,F,1987-12-27,8316,null,SCHMIDTELIZABETH@HOTMAIL.COM
687,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS BIOLÓGICAS,RICHARD ROBLES,M,2010-07-15,8324,null,KYLEGRAHAM@HOTMAIL.COM
688,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PSICOLOGÍA,JILL GARCIA,F,1947-09-19,3450,null,MEGANFARMER@HOTMAIL.COM
689,UNIV. NACIONAL DEL COMAHUE,INGENIERÍA ELECTRÓNICA,TABITHA GARCIA,F,2010-08-11,3081,null,LMCDONALD@HOTMAIL.COM
690,UNIV. NACIONAL DEL COMAHUE,DISEÑO DE IMAGEN Y SONIDO,MADISON BRENNAN,F,1933-11-22,3100,null,CHRISTOPHERSMITH@HOTMAIL.COM
691,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PSICOLOGÍA,MICHAEL OLIVER,M,1906-07-11,3592,null,BBUSH@YAHOO.COM
692,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS AMBIENTALES,KRISTIN PERKINS,F,2009-03-31,3355,null,SAMUEL60@GMAIL.COM
693,UNIV. NACIONAL DEL COMAHUE,TÉCNICO PARA BIOTERIOS ,ELIZABETH RODRIGUEZ,F,1923-10-05,2942,null,TIFFANYMOSES@YAHOO.COM
694,UNIV. NACIONAL DEL COMAHUE,INGENIERÍA ELECTRÓNICA,JAKE BROWN,M,1955-08-28,3204,null,HAYESBENJAMIN@YAHOO.COM
695,UNIV. NACIONAL DEL COMAHUE,CIENCIAS VETERINARIAS,BRYAN COPELAND,M,1963-08-02,6605,null,JSNYDER@GMAIL.COM
696,UNIV. NACIONAL DEL COMAHUE,ARQUITECTURA,KIM BURTON,F,1948-02-15,5438,null,ROGERSDAVID@YAHOO.COM
697,UNIV. NACIONAL DEL COMAHUE,INGENIERÍA MECÁNICA,NANCY JONES,F,1933-08-21,1746,null,RANDY73@GMAIL.COM
698,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_PLANIFICACIÓN_Y_DISEÑO_DEL_PAISAJE,CHRISTY_BURKE,F,1942-10-20,null,ABO_NEZU,VALERIE17@GMAIL.COM
699,UNIVERSIDAD_DEL_SALVADOR,DISEÑO_DE_IMAGEN_Y_SONIDO,MARK_JOHNSON,M,1943-07-05,null,EL_CHALTEN,MWILLIAMS@YAHOO.COM
700,UNIV. NACIONAL DEL COMAHUE,DISEÑO INDUSTRIAL,JONATHAN THOMAS,M,1938-06-13,5407,null,AMYANDREWS@GMAIL.COM
701,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN RELACIONES DEL TRABAJO ,ASHLEY GREEN,F,2019-01-14,2527,null,CHRISTIAN68@YAHOO.COM
702,UNIV. NACIONAL DEL COMAHUE,DISEÑO INDUSTRIAL,JASON WHITE,M,1915-01-11,7201,null,BIRDSARA@HOTMAIL.COM
703,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS BIOLÓGICAS,MR. JEREMY PETERSEN,M,1954-03-02,5276,null,TAMMY85@HOTMAIL.COM
704,UNIV. NACIONAL DEL COMAHUE,INGENIERÍA MECÁNICA,AMANDA VAUGHN,F,1914-08-18,7261,null,CHRISTOPHERCOLEMAN@GMAIL.COM
705,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_ARTES,MARY_TORRES,F,1994-04-04,null,RAFAEL_CALZADA,GRUIZ@GMAIL.COM
706,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_TERAPIA_OCUPACIONAL,SYDNEY_PRICE,F,1936-06-12,null,PELLEGRINI,SINGLETONJOSHUA@YAHOO.COM
707,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS GEOLÓGICAS,NANCY WALL,F,1965-09-12,7113,null,MCINTOSHLINDSAY@YAHOO.COM
